town_name,bachelors_degree_pct,poverty_pct,unemployment_pct,median_household_income,income_10yr_change_pct,population,population_10yr_change_pct
Abington,39.8,5.7,5.2,119787.0,52.8,17008.0,6.2
Acton,77.6,3.4,5.2,153338.0,38.7,23961.0,7.5
Acushnet,27.3,5.1,2.6,91050.0,37.2,10563.0,2.4
Adams,25.2,14.7,5.5,56285.0,39.6,8106.0,-3.7
Agawam,34.9,6.9,4.5,82359.0,29.5,28510.0,-0.2
Alford,68.7,1.3,4.7,122292.0,59.3,389.0,-17.9
Amesbury,42.5,7.0,3.9,100599.0,28.2,17277.0,5.2
Amherst,73.8,24.1,9.0,65938.0,,35472.0,
Andover,75.2,3.5,5.0,167591.0,48.7,36465.0,8.1
Aquinnah,60.5,2.5,9.8,117813.0,53.7,667.0,68.0
Arlington,74.4,5.4,3.2,141440.0,57.4,46015.0,6.3
Ashburnham,41.5,7.5,3.4,115420.0,38.2,6357.0,3.9
Ashby,42.4,2.8,3.7,110536.0,33.5,3188.0,2.4
Ashfield,50.5,9.8,7.9,80216.0,15.3,1809.0,6.2
Ashland,59.5,4.1,5.1,127106.0,36.3,18694.0,11.3
Athol,19.5,14.4,7.2,65458.0,39.4,11937.0,2.9
Attleboro,33.7,9.2,4.5,93266.0,39.1,46499.0,6.5
Auburn,42.0,4.5,3.9,100786.0,37.6,16840.0,3.7
Avon,31.0,5.2,3.1,129487.0,76.9,4753.0,8.0
Ayer,41.1,9.0,6.9,105047.0,74.1,8491.0,11.9
Barnstable,42.3,7.1,3.3,97348.0,61.9,49232.0,9.5
Barre,31.4,16.6,4.1,95607.0,38.5,5535.0,2.3
Becket,41.5,9.9,2.3,75625.0,49.9,2049.0,9.7
Bedford,69.4,4.1,5.5,158964.0,47.6,14343.0,5.8
Belchertown,45.9,8.7,1.6,99089.0,37.9,15366.0,4.7
Bellingham,40.0,4.4,6.8,120966.0,50.9,17160.0,4.4
Belmont,80.2,3.5,4.5,178188.0,61.1,27009.0,8.3
Berkley,37.5,2.7,6.0,123877.0,36.5,6789.0,5.2
Berlin,54.4,4.7,6.0,122411.0,27.6,3311.0,14.7
Bernardston,30.6,6.2,2.3,78427.0,45.9,2079.0,-5.7
Beverly,52.3,9.9,3.6,103739.0,47.0,42408.0,6.0
Billerica,41.0,4.5,3.5,139706.0,58.2,41700.0,1.9
Blackstone,34.6,4.9,2.3,98986.0,33.2,9211.0,1.9
Blandford,30.5,5.4,0.6,88587.0,22.6,1165.0,5.0
Bolton,80.8,2.7,5.8,198475.0,35.9,5698.0,14.7
Boston,54.1,16.9,6.0,94755.0,76.8,663972.0,5.5
Bourne,46.3,5.8,2.7,95349.0,53.3,20093.0,1.8
Boxborough,77.8,3.6,5.6,151000.0,48.8,5468.0,8.3
Boxford,69.6,2.2,3.1,192605.0,53.1,8155.0,1.4
Boylston,57.0,8.7,5.2,124732.0,27.4,4896.0,12.1
Braintree,47.1,5.2,3.7,125305.0,53.1,38762.0,7.5
Brewster,52.4,10.8,8.3,94798.0,56.7,10367.0,5.9
Bridgewater,39.7,4.9,5.5,112482.0,,28669.0,
Brimfield,43.5,5.9,2.7,101477.0,25.0,3694.0,1.6
Brockton,21.3,13.9,8.3,77089.0,57.2,105080.0,11.9
Brookfield,26.6,7.1,6.7,71875.0,16.3,3442.0,1.8
Brookline,85.0,9.8,3.5,140631.0,45.7,62822.0,7.0
Buckland,47.1,13.9,5.1,80995.0,62.8,2001.0,-4.4
Burlington,58.2,5.6,3.6,142207.0,50.0,26223.0,5.4
Cambridge,80.2,12.4,3.4,126469.0,74.4,117794.0,11.4
Canton,65.5,4.4,4.0,128341.0,42.8,24459.0,12.3
Carlisle,83.1,2.1,2.2,250001.0,56.2,5209.0,5.9
Carver,27.2,6.6,2.9,78955.0,9.4,11645.0,1.3
Charlemont,30.8,8.7,8.8,59327.0,17.9,1054.0,-16.1
Charlton,37.7,3.3,3.0,119809.0,27.5,13359.0,2.5
Chatham,63.1,9.1,5.0,86674.0,33.5,6643.0,8.2
Chelmsford,54.6,4.3,4.8,140519.0,45.9,36220.0,5.9
Chelsea,22.0,20.6,8.8,72220.0,52.7,39460.0,8.9
Cheshire,28.8,9.5,6.4,72028.0,45.2,3234.0,0.2
Chester,26.3,2.0,2.4,87308.0,33.2,1322.0,-9.8
Chesterfield,31.1,6.7,3.2,102031.0,66.6,964.0,-17.0
Chicopee,23.2,15.2,6.5,66927.0,43.3,55213.0,-0.5
Chilmark,67.3,6.1,10.1,166250.0,157.9,1726.0,94.8
Clarksburg,26.7,2.5,4.1,78421.0,36.1,1723.0,3.2
Clinton,35.1,8.4,4.3,93849.0,45.0,15430.0,13.2
Cohasset,72.5,2.9,3.5,187060.0,58.8,8358.0,5.3
Colrain,35.5,6.0,4.8,86429.0,70.0,1663.0,-6.4
Concord,79.1,2.5,4.0,212315.0,57.6,18226.0,-1.2
Conway,59.7,3.5,4.3,92471.0,19.9,1757.0,5.0
Cummington,56.0,3.1,0.9,101250.0,96.8,916.0,-5.3
Dalton,40.4,5.3,6.7,81168.0,63.7,6304.0,-6.5
Danvers,46.8,5.2,5.7,117072.0,47.3,27924.0,3.8
Dartmouth,38.5,6.0,4.2,98662.0,45.1,32621.0,-4.9
Dedham,55.1,4.6,3.6,124375.0,46.8,25109.0,0.8
Deerfield,44.3,7.2,4.2,103110.0,34.4,5136.0,0.4
Dennis,42.6,7.8,4.0,88183.0,74.0,14803.0,4.5
Dighton,36.5,2.8,5.4,137616.0,68.6,8122.0,14.2
Douglas,44.1,5.1,5.2,147185.0,76.8,9096.0,6.8
Dover,87.3,2.0,8.2,250001.0,33.1,5893.0,3.8
Dracut,35.2,6.6,4.7,111539.0,42.7,32356.0,8.0
Dudley,24.9,7.5,5.5,85179.0,20.7,11886.0,3.9
Dunstable,59.9,1.0,5.4,202379.0,70.0,3375.0,3.7
Duxbury,73.5,5.1,3.3,171471.0,45.0,16110.0,6.5
East Bridgewater,34.3,4.1,4.6,128679.0,49.8,14420.0,3.8
East Brookfield,26.5,4.3,6.2,76382.0,15.7,2120.0,-5.9
East Longmeadow,46.4,2.9,3.6,101540.0,26.2,16368.0,3.5
Eastham,51.6,9.1,8.4,72683.0,24.6,5772.0,16.7
Easthampton,41.0,8.9,5.2,72925.0,26.6,16103.0,0.4
Easton,52.1,6.6,4.6,121458.0,29.3,25162.0,7.5
Edgartown,44.9,5.9,8.8,89710.0,34.5,5212.0,26.0
Egremont,61.0,7.5,3.4,97500.0,76.0,1232.0,12.3
Erving,25.1,6.0,4.6,74550.0,36.2,1639.0,-8.1
Essex,68.7,6.0,1.0,152371.0,105.3,3680.0,3.8
Everett,23.5,15.4,5.4,79658.0,61.4,49236.0,17.0
Fairhaven,30.5,7.6,4.9,92500.0,53.3,15878.0,-0.5
Fall River,16.8,20.9,8.1,53933.0,62.4,93764.0,5.6
Falmouth,51.8,9.0,5.6,92862.0,50.5,32841.0,4.0
Fitchburg,24.5,15.5,6.9,70659.0,55.8,41633.0,3.2
Florida,22.4,5.2,8.1,90078.0,65.7,774.0,0.0
Foxborough,58.3,4.8,6.5,108559.0,18.5,18516.0,9.0
Framingham,49.4,11.0,4.4,98179.0,,72013.0,
Franklin,56.4,5.5,5.1,142788.0,43.9,33067.0,3.1
Freetown,38.9,3.4,5.9,144722.0,69.5,9222.0,3.4
Gardner,22.8,14.3,5.7,62948.0,28.9,21075.0,4.1
Georgetown,53.4,3.2,1.6,152014.0,41.0,8454.0,1.9
Gill,46.1,6.7,7.2,90000.0,20.7,1831.0,19.5
Gloucester,38.8,10.6,6.4,87898.0,43.0,29862.0,2.8
Goshen,43.5,10.2,1.7,93125.0,35.5,965.0,-12.4
Gosnold,74.5,3.9,0.0,,,51.0,-62.2
Grafton,53.6,6.4,4.6,124548.0,43.0,19771.0,10.5
Granby,37.4,4.6,3.4,110188.0,50.5,6088.0,-2.7
Granville,35.5,10.2,5.0,89643.0,21.5,1680.0,1.4
Great Barrington,48.4,4.1,3.5,82484.0,64.5,7184.0,1.9
Greenfield,37.8,15.6,6.5,53961.0,,17662.0,
Groton,65.7,4.3,5.1,189180.0,61.5,11265.0,3.9
Groveland,45.5,4.2,2.6,135521.0,39.0,6747.0,1.1
Hadley,63.2,3.1,3.6,117580.0,60.5,5299.0,0.9
Halifax,32.9,3.1,1.5,106851.0,57.7,7734.0,2.5
Hamilton,68.5,6.1,2.5,126331.0,19.3,7571.0,-5.3
Hampden,37.7,2.0,6.6,110703.0,37.4,4937.0,-4.3
Hancock,37.8,15.4,1.2,93125.0,17.2,798.0,11.8
Hanover,56.5,5.7,6.8,174821.0,76.1,14800.0,5.5
Hanson,39.0,2.6,4.8,111897.0,20.9,10615.0,3.6
Hardwick,26.5,8.2,3.3,81250.0,39.9,2671.0,-10.2
Harvard,64.2,4.4,5.5,200688.0,46.0,6881.0,5.2
Harwich,46.6,4.5,5.1,87948.0,39.8,13506.0,10.5
Hatfield,48.7,7.9,3.7,100381.0,70.6,3324.0,1.2
Haverhill,31.6,10.6,5.9,87675.0,45.1,67387.0,9.9
Hawley,47.0,9.4,1.2,99375.0,55.9,360.0,-11.1
Heath,44.2,6.4,2.5,93750.0,74.4,782.0,31.9
Hingham,75.3,3.3,2.6,181017.0,69.4,24185.0,8.3
Hinsdale,22.5,9.1,3.7,76129.0,17.5,1825.0,-21.2
Holbrook,36.9,6.6,3.6,107768.0,71.3,11320.0,4.3
Holden,57.6,4.0,5.5,142880.0,50.0,19885.0,13.4
Holland,34.2,5.0,5.8,86806.0,28.3,2576.0,5.5
Holliston,65.7,3.2,5.0,154684.0,40.2,14964.0,8.3
Holyoke,24.3,23.7,6.9,51892.0,64.1,37949.0,-5.2
Hopedale,48.4,4.2,3.1,115216.0,28.9,6024.0,1.6
Hopkinton,75.8,3.3,2.2,204418.0,57.8,19050.0,24.7
Hubbardston,31.8,7.3,3.0,102344.0,17.7,4339.0,-1.3
Hudson,47.3,4.7,4.5,107202.0,49.0,19959.0,3.6
Hull,51.7,5.3,4.4,127112.0,68.2,10098.0,-2.1
Huntington,30.4,12.6,3.1,94871.0,70.9,2205.0,8.2
Ipswich,57.5,6.5,2.8,124405.0,61.4,13820.0,3.5
Kingston,48.7,2.9,2.2,115863.0,40.2,13782.0,8.8
Lakeville,39.0,5.0,4.0,126182.0,43.6,11732.0,8.6
Lancaster,51.5,3.0,9.4,130444.0,68.2,8470.0,6.0
Lanesborough,38.0,5.7,0.5,84419.0,21.2,3033.0,-0.9
Lawrence,16.4,18.2,8.7,57903.0,76.3,88297.0,14.9
Lee,45.1,6.7,3.6,74222.0,28.7,5751.0,-3.1
Leicester,29.4,3.4,2.3,95776.0,34.8,11076.0,0.0
Lenox,49.5,9.1,8.0,97569.0,91.0,5076.0,1.2
Leominster,32.3,10.1,5.7,81556.0,38.6,43697.0,6.9
Leverett,67.5,9.1,7.2,113750.0,55.8,1704.0,-3.1
Lexington,85.0,4.3,3.0,219402.0,57.2,34085.0,6.9
Leyden,40.3,8.7,4.0,105357.0,40.2,650.0,-5.0
Lincoln,78.7,3.9,0.8,180750.0,43.0,6946.0,7.4
Littleton,61.0,6.0,4.8,146250.0,38.7,10150.0,12.3
