District Name,District Code,Test Takers,Tests Taken,One Test,Two Tests,Three Tests,Four Tests,Five or More Tests
Abington,00010000,64,105,37,17,7,2,1
Academy Of the Pacific Rim Charter Public (District),04120000,72,108,48,14,8,2,0
Acton-Boxborough,06000000,805,"1,679",368,182,129,78,48
Advanced Math and Science Academy Charter (District),04300000,244,495,87,88,45,23,1
Agawam,00050000,257,491,122,66,48,13,8
Amesbury,00070000,71,97,50,16,5,0,0
Amherst-Pelham,06050000,172,256,108,46,16,2,0
Andover,00090000,596,"1,477",150,174,158,78,36
Arlington,00100000,735,"1,635",256,183,197,75,24
Ashburnham-Westminster,06100000,143,236,81,40,14,7,1
Ashland,00140000,234,540,93,56,37,26,22
Assabet Valley Regional Vocational Technical,08010000,87,139,54,18,12,2,1
Athol-Royalston,06150000,95,138,56,36,2,1,0
Atlantis Charter (District),04910000,69,143,28,19,12,9,1
Attleboro,00160000,379,645,202,111,45,19,2
Auburn,00170000,217,354,116,70,26,5,0
Avon,00180000,27,37,17,10,0,0,0
Ayer Shirley School District,06160000,97,172,45,35,11,6,0
Barnstable,00200000,345,611,194,80,38,25,8
Baystate Academy Charter Public School (District),35020000,18,18,18,0,0,0,0
Bedford,00230000,289,579,107,101,61,14,6
Belchertown,00240000,107,154,70,29,6,2,0
Bellingham,00250000,92,156,46,33,10,1,2
Belmont,00260000,721,"1,891",190,182,155,118,76
Berkshire Arts and Technology Charter Public (District),04140000,23,39,8,14,1,0,0
Berkshire Hills,06180000,73,121,34,31,7,1,0
Berlin-Boylston,06200000,69,127,33,17,16,3,0
Beverly,00300000,309,575,137,104,48,15,5
Billerica,00310000,300,600,147,68,41,28,16
Blackstone Valley Regional Vocational Technical,08050000,226,368,118,82,19,6,1
Blackstone-Millville,06220000,83,141,42,32,2,6,1
Blue Hills Regional Vocational Technical,08060000,59,75,43,16,0,0,0
Boston,00350000,"3,589","6,838","1,595",994,768,212,20
Boston Collegiate Charter (District),04490000,108,193,49,33,26,0,0
Boston Green Academy Horace Mann Charter School (District),04110000,73,116,45,17,8,2,1
Boston Preparatory Charter Public (District),04160000,90,213,30,20,22,13,5
Bourne,00360000,98,181,49,26,14,7,2
Braintree,00400000,460,929,195,122,91,43,9
Bridgewater-Raynham,06250000,349,716,154,82,68,32,13
Bristol County Agricultural,09100000,75,120,45,17,11,2,0
Bristol-Plymouth Regional Vocational Technical,08100000,76,107,47,27,2,0,0
Brockton,00440000,331,538,184,101,35,8,3
Brooke Charter School (District),04280000,318,679,124,85,59,42,8
Brookline,00460000,708,"1,603",251,193,143,76,45
Burlington,00480000,248,597,80,52,67,37,12
Cambridge,00490000,646,"1,257",277,195,125,34,15
Canton,00500000,329,752,116,89,67,39,18
Cape Cod Regional Vocational Technical,08150000,62,95,29,33,0,0,0
Carver,00520000,81,147,42,17,17,5,0
Central Berkshire,06350000,90,170,37,33,14,5,1
Chelmsford,00560000,283,650,95,71,63,48,6
Chelsea,00570000,346,596,196,76,50,22,2
Chicopee,00610000,313,520,185,73,34,18,3
City on a Hill Charter Public School (District),04370000,15,22,8,7,0,0,0
Clinton,00640000,94,182,44,23,17,9,1
Codman Academy Charter Public (District),04380000,29,35,23,6,0,0,0
Cohasset,00650000,219,455,86,61,49,18,5
Collegiate Charter School of Lowell (District),35030000,58,110,21,24,11,2,0
Community Charter School of Cambridge (District),04360000,33,52,19,9,5,0,0
Concord-Carlisle,06400000,312,697,95,117,63,22,15
Danvers,00710000,218,458,74,69,56,17,2
Dartmouth,00720000,290,565,128,87,43,27,5
Dedham,00730000,259,512,123,71,31,21,13
Dennis-Yarmouth,06450000,230,392,132,49,36,11,2
Dighton-Rehoboth,06500000,108,224,46,26,21,12,3
Douglas,00770000,64,143,20,18,18,7,1
Dover-Sherborn,06550000,276,650,86,75,62,38,15
Dracut,00790000,150,282,71,45,23,5,6
Dudley-Charlton Reg,06580000,211,397,97,60,38,14,2
Duxbury,00820000,406,"1,012",119,121,70,51,45
East Bridgewater,00830000,146,279,57,56,22,11,0
East Longmeadow,00870000,219,395,104,68,35,11,1
Easthampton,00860000,107,152,78,15,13,0,1
Easton,00880000,299,696,91,88,68,40,12
Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District),04520000,121,189,55,64,2,0,0
Essex North Shore Agricultural and Technical School District,08170000,143,189,113,20,4,6,0
Everett,00930000,323,594,176,73,38,23,13
Excel Academy Charter (District),04100000,390,826,126,134,88,42,0
Fairhaven,00940000,129,281,56,33,17,15,8
Fall River,00950000,489,930,210,159,88,22,10
Falmouth,00960000,190,397,83,48,30,19,10
Fitchburg,00970000,184,384,96,27,23,25,13
Four Rivers Charter Public (District),04130000,2,,,,,,
Foxborough,00990000,212,540,78,41,38,27,28
Foxborough Regional Charter (District),04460000,97,199,36,32,19,8,2
Framingham,01000000,458,"1,001",173,126,83,55,21
Francis W. Parker Charter Essential (District),04780000,10,14,7,2,1,0,0
Franklin,01010000,482,"1,176",160,124,100,50,48
Franklin County Regional Vocational Technical,08180000,76,105,52,19,5,0,0
Freetown-Lakeville,06650000,212,456,84,54,42,22,10
Frontier,06700000,129,203,75,35,18,1,0
Gardner,01030000,63,92,47,10,3,2,1
Gateway,06720000,21,60,5,1,11,2,2
Georgetown,01050000,63,140,20,18,18,5,2
Gill-Montague,06740000,11,13,9,2,0,0,0
Global Learning Charter Public (District),04960000,18,22,14,4,0,0,0
Gloucester,01070000,102,194,49,23,23,5,2
Grafton,01100000,239,443,119,63,31,25,1
Granby,01110000,39,58,21,17,1,0,0
Greater Commonwealth Virtual District,39010000,22,34,14,4,4,0,0
Greater Fall River Regional Vocational Technical,08210000,185,288,105,57,23,0,0
Greater Lowell Regional Vocational Technical,08280000,211,302,137,57,17,0,0
Greater New Bedford Regional Vocational Technical,08250000,100,157,60,24,15,1,0
Greenfield,01140000,64,120,26,24,11,2,1
Groton-Dunstable,06730000,194,341,94,63,29,6,2
Hadley,01170000,43,91,11,22,5,4,1
Hamilton-Wenham,06750000,150,320,58,40,30,18,4
Hampden Charter School of Science (District),04990000,186,372,102,30,22,17,15
Hampden-Wilbraham,06800000,264,481,135,79,24,15,11
Hampshire,06830000,97,154,58,23,14,2,0
Hanover,01220000,222,444,87,71,43,19,2
Harvard,01250000,110,255,39,27,24,12,8
Hatfield,01270000,22,40,4,18,0,0,0
Haverhill,01280000,319,676,126,101,48,22,22
Hingham,01310000,317,624,146,81,56,26,8
