District Name,District Code,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total
Abby Kelley Foster Charter Public (District),04450000,0,115,123,119,123,126,130,128,128,112,85,74,83,80,0,"1,426"
Abington,00010000,80,158,143,166,174,181,194,170,173,156,144,121,141,123,8,"2,132"
Academy Of the Pacific Rim Charter Public (District),04120000,0,0,0,0,0,0,32,49,80,87,80,70,51,52,0,501
Acton-Boxborough,06000000,111,322,306,368,350,380,353,384,404,416,393,400,399,415,4,"5,005"
Acushnet,00030000,51,82,84,100,91,90,109,96,120,101,0,0,0,0,0,924
Advanced Math and Science Academy Charter (District),04300000,0,0,0,0,0,0,0,137,142,143,139,136,142,124,0,963
Agawam,00050000,130,234,255,245,259,259,251,262,252,238,300,235,248,242,8,"3,418"
Alma del Mar Charter School (District),04090000,0,100,101,100,100,100,100,148,149,146,0,0,0,0,0,"1,044"
Amesbury,00070000,51,147,151,148,146,133,145,133,102,131,115,140,130,132,9,"1,813"
Amherst,00080000,50,112,159,130,151,119,139,151,0,0,0,0,0,0,0,"1,011"
Amherst-Pelham,06050000,0,0,0,0,0,0,0,0,192,183,189,189,192,227,11,"1,183"
Andover,00090000,104,336,383,375,410,433,429,394,483,421,372,400,402,404,0,"5,346"
Argosy Collegiate Charter School (District),35090000,0,0,0,0,0,0,0,106,106,104,87,75,64,62,0,604
Arlington,00100000,79,429,455,443,494,498,486,480,522,455,466,434,443,414,0,"6,098"
Ashburnham-Westminster,06100000,84,132,131,153,160,181,173,165,217,182,161,163,154,159,5,"2,220"
Ashland,00140000,90,195,184,218,175,241,241,209,234,235,219,227,217,225,0,"2,910"
Assabet Valley Regional Vocational Technical,08010000,0,0,0,0,0,0,0,0,0,0,307,289,279,256,0,"1,131"
Athol-Royalston,06150000,66,124,109,137,128,143,125,108,114,104,125,93,89,96,6,"1,567"
Atlantis Charter (District),04910000,0,110,110,110,110,110,110,110,108,108,74,60,53,61,0,"1,234"
Attleboro,00160000,238,418,455,410,422,442,407,450,453,449,487,516,504,534,20,"6,205"
Auburn,00170000,85,169,145,146,174,185,182,211,203,198,177,182,188,189,10,"2,444"
Avon,00180000,18,37,49,48,57,51,51,51,59,62,41,44,58,49,0,675
Ayer Shirley School District,06160000,63,124,130,128,152,164,113,139,127,130,96,89,97,104,0,"1,656"
Barnstable,00200000,162,351,351,366,396,374,350,280,300,343,283,288,323,325,19,"4,511"
Baystate Academy Charter Public School (District),35020000,0,0,0,0,0,0,0,61,61,71,39,38,43,31,0,344
Bedford,00230000,40,129,138,163,156,151,192,182,196,217,205,213,215,200,0,"2,397"
Belchertown,00240000,55,116,138,138,138,166,168,165,160,166,146,141,125,135,8,"1,965"
Bellingham,00250000,110,137,154,136,152,133,145,154,147,166,158,150,156,151,8,"2,057"
Belmont,00260000,66,268,261,269,316,349,321,358,355,372,392,337,400,369,0,"4,433"
Benjamin Banneker Charter Public (District),04200000,25,46,44,48,46,45,46,44,0,0,0,0,0,0,0,344
Benjamin Franklin Classical Charter Public (District),04470000,0,100,100,100,100,100,100,100,100,99,0,0,0,0,0,899
Berkley,00270000,73,75,75,84,87,86,84,106,93,83,0,0,0,0,0,846
Berkshire Arts and Technology Charter Public (District),04140000,0,0,0,0,0,0,0,66,75,68,44,33,35,36,0,357
Berkshire Hills,06180000,56,51,51,61,65,71,81,80,96,79,98,95,86,112,4,"1,086"
Berlin-Boylston,06200000,43,80,85,92,98,97,82,92,78,89,63,73,68,70,0,"1,110"
Beverly,00300000,118,354,377,347,359,344,357,366,329,365,268,287,303,318,5,"4,497"
Billerica,00310000,187,422,408,393,398,403,415,386,371,375,282,315,281,291,6,"4,933"
Blackstone Valley Regional Vocational Technical,08050000,0,0,0,0,0,0,0,0,0,0,309,311,320,296,0,"1,236"
Blackstone-Millville,06220000,58,79,97,109,103,93,115,125,111,133,97,108,89,99,2,"1,418"
Blue Hills Regional Vocational Technical,08060000,0,0,0,0,0,0,0,0,0,0,247,244,212,221,0,924
Boston,00350000,"2,621","3,248","3,345","3,304","3,338","3,323","2,905","2,869","2,834","2,895","3,140","3,281","3,430","3,677",206,"44,416"
Boston Collegiate Charter (District),04490000,0,0,0,0,0,0,85,106,95,94,96,77,70,61,4,688
Boston Day and Evening Academy Charter (District),04240000,0,0,0,0,0,0,0,0,0,0,10,77,70,156,0,313
Boston Green Academy Horace Mann Charter School (District),04110000,0,0,0,0,0,0,0,0,79,79,87,69,70,63,3,450
Boston Preparatory Charter Public (District),04160000,0,0,0,0,0,0,0,87,111,94,105,103,93,75,2,670
Boston Renaissance Charter Public (District),04810000,108,128,141,136,137,121,111,69,0,0,0,0,0,0,0,951
Bourne,00360000,67,103,118,130,120,129,112,130,116,144,57,92,71,75,9,"1,473"
Boxford,00380000,42,81,104,116,97,105,104,111,0,0,0,0,0,0,0,760
Braintree,00400000,91,341,340,348,393,433,402,403,424,390,340,372,375,406,0,"5,058"
Brewster,00410000,39,53,64,64,66,73,58,0,0,0,0,0,0,0,0,417
Bridge Boston Charter School (District),04170000,32,39,39,39,36,41,36,32,26,27,0,0,0,0,0,347
Bridgewater-Raynham,06250000,96,409,409,436,447,472,436,457,467,456,321,348,326,357,21,"5,458"
Brimfield,00430000,29,36,16,36,33,36,26,49,0,0,0,0,0,0,0,261
Bristol County Agricultural,09100000,0,0,0,0,0,0,0,0,0,0,164,164,157,152,0,637
Bristol-Plymouth Regional Vocational Technical,08100000,0,0,0,0,0,0,0,0,0,0,352,333,329,327,0,"1,341"
Brockton,00440000,533,"1,152","1,260","1,192","1,185","1,273","1,194",944,975,"1,092","1,066",875,907,934,60,"14,642"
Brooke Charter School (District),04280000,0,194,198,195,198,194,197,191,177,187,142,129,114,114,0,"2,230"
Brookfield,00450000,17,32,37,38,40,43,42,39,0,0,0,0,0,0,0,288
Brookline,00460000,237,453,491,482,542,501,547,528,503,517,499,535,584,519,10,"6,948"
Burlington,00480000,87,259,256,275,268,296,277,274,275,277,219,243,231,219,1,"3,457"
Cambridge,00490000,344,572,545,561,503,530,509,426,435,439,511,510,539,505,31,"6,960"
Canton,00500000,109,248,252,233,259,260,264,249,234,235,227,241,231,267,5,"3,314"
Cape Cod Lighthouse Charter (District),04320000,0,0,0,0,0,0,0,84,84,78,0,0,0,0,0,246
Cape Cod Regional Vocational Technical,08150000,0,0,0,0,0,0,0,0,0,0,190,182,171,161,0,704
Carlisle,00510000,16,55,62,78,64,82,60,56,76,60,0,0,0,0,0,609
Carver,00520000,73,88,123,95,128,147,97,121,110,89,110,81,89,81,4,"1,436"
Central Berkshire,06350000,40,123,97,107,125,113,108,128,120,123,117,112,109,107,1,"1,530"
Chelmsford,00560000,171,348,390,391,373,395,428,389,409,392,374,342,363,363,0,"5,128"
Chelsea,00570000,262,459,444,424,444,471,342,396,397,427,462,398,399,407,17,"5,749"
Chesterfield-Goshen,06320000,19,15,11,13,16,22,14,18,0,0,0,0,0,0,0,128
Chicopee,00610000,359,430,450,447,417,440,481,492,465,509,567,526,494,539,0,"6,616"
Christa McAuliffe Charter School (District),04180000,0,0,0,0,0,0,0,132,93,90,0,0,0,0,0,315
Clarksburg,00630000,18,18,17,21,21,23,22,19,23,29,0,0,0,0,0,211
Clinton,00640000,136,161,173,146,129,142,161,144,153,143,129,138,135,155,0,"2,045"
Codman Academy Charter Public (District),04380000,23,24,22,23,23,25,23,21,24,21,37,28,20,31,0,345
Cohasset,00650000,31,109,110,109,119,128,115,100,105,84,93,81,93,105,0,"1,382"
Collegiate Charter School of Lowell (District),35030000,0,78,80,103,113,116,98,99,109,114,89,73,71,62,0,"1,205"
Community Charter School of Cambridge (District),04360000,0,0,0,0,0,0,0,28,49,55,40,26,23,23,0,244
Community Day Charter Public School (District),04400000,126,130,129,134,126,121,99,114,111,108,0,0,0,0,0,"1,198"
Concord,00670000,53,165,178,202,196,203,216,215,215,225,0,0,0,0,0,"1,868"
Concord-Carlisle,06400000,0,0,0,0,0,0,0,0,0,0,276,279,264,322,7,"1,148"
Conservatory Lab Charter (District),04390000,48,51,54,54,54,53,52,46,32,23,0,0,0,0,0,467
Conway,00680000,15,18,23,17,15,18,18,22,0,0,0,0,0,0,0,146
Danvers,00710000,93,217,216,255,265,247,302,248,263,223,194,194,209,191,6,"3,123"
Dartmouth,00720000,84,211,211,248,252,270,255,294,269,278,229,197,203,232,10,"3,243"
Dedham,00730000,81,198,191,207,217,214,217,207,178,176,160,143,174,182,16,"2,561"
Deerfield,00740000,29,27,33,37,39,39,34,55,0,0,0,0,0,0,0,293
Dennis-Yarmouth,06450000,127,239,202,247,256,226,232,226,255,204,155,175,167,185,9,"2,905"
Dighton-Rehoboth,06500000,96,179,197,218,201,193,233,192,211,211,149,139,138,155,12,"2,524"
Douglas,00770000,60,74,85,80,85,84,75,104,90,82,65,60,59,72,2,"1,077"
Dover,00780000,13,78,61,63,83,91,68,0,0,0,0,0,0,0,0,457
Dover-Sherborn,06550000,0,0,0,0,0,0,0,168,151,140,164,135,135,179,0,"1,072"
Dracut,00790000,63,275,257,259,297,298,304,296,316,328,199,199,142,216,7,"3,456"
Dudley Street Neighborhood Charter School (District),04070000,22,39,37,45,43,37,38,0,0,0,0,0,0,0,0,261
Dudley-Charlton Reg,06580000,116,217,230,272,206,272,274,267,303,313,258,212,238,240,7,"3,425"
Duxbury,00820000,56,188,208,187,222,201,221,196,198,202,201,195,172,205,5,"2,657"
East Bridgewater,00830000,120,128,136,139,122,149,154,153,150,160,148,142,133,146,2,"1,982"
East Longmeadow,00870000,47,108,155,155,171,196,184,211,183,198,200,185,170,191,1,"2,355"
Eastham,00850000,0,26,29,24,30,41,28,0,0,0,0,0,0,0,0,178
Easthampton,00860000,38,105,90,87,102,96,115,117,108,106,109,97,95,75,0,"1,340"
Easton,00880000,114,242,209,225,216,275,245,247,250,286,240,239,255,246,8,"3,297"
Edgartown,00890000,9,43,31,39,33,38,50,37,38,37,0,0,0,0,0,355
Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District),04520000,0,0,0,0,0,0,0,0,0,0,151,102,84,87,0,424
Erving,00910000,8,14,14,13,10,14,14,19,0,0,0,0,0,0,0,106
Essex North Shore Agricultural and Technical School District,08170000,0,0,0,0,0,0,0,0,0,0,542,508,449,428,0,"1,927"
Everett,00930000,344,411,472,477,482,487,502,540,456,518,568,552,519,574,6,"6,908"
Excel Academy Charter (District),04100000,0,0,0,0,0,0,174,175,174,172,177,174,161,165,4,"1,376"
Fairhaven,00940000,42,107,110,107,117,121,122,140,128,136,129,150,132,136,2,"1,679"
Fall River,00950000,410,902,935,924,961,990,850,800,773,800,701,751,716,642,29,"11,184"
Falmouth,00960000,134,173,202,208,222,259,203,235,224,240,167,166,179,163,8,"2,783"
Farmington River Reg,06620000,3,22,11,11,16,14,15,13,0,0,0,0,0,0,0,105
Fitchburg,00970000,161,408,451,385,454,408,414,407,418,372,330,351,360,344,21,"5,284"
Florida,00980000,6,6,6,6,5,7,13,7,8,4,0,0,0,0,0,68
Four Rivers Charter Public (District),04130000,0,0,0,0,0,0,0,0,38,38,38,38,29,37,0,218
Foxborough,00990000,66,185,165,189,191,195,196,184,184,191,174,163,173,187,7,"2,450"
Foxborough Regional Charter (District),04460000,0,111,108,141,132,141,133,118,119,104,85,70,69,80,0,"1,411"
Framingham,01000000,234,679,717,721,701,694,694,524,648,599,616,564,576,509,6,"8,482"
Francis W. Parker Charter Essential (District),04780000,0,0,0,0,0,0,0,0,74,72,68,71,62,48,0,395
Franklin,01010000,116,289,319,314,315,311,332,309,361,338,346,317,342,364,10,"4,383"
Franklin County Regional Vocational Technical,08180000,0,0,0,0,0,0,0,0,0,0,172,177,151,147,0,647
Freetown-Lakeville,06650000,46,204,189,179,199,212,231,239,237,244,132,158,143,170,6,"2,589"
Frontier,06700000,0,0,0,0,0,0,0,0,116,115,99,92,72,94,6,594
Gardner,01030000,95,188,199,194,197,198,179,182,167,174,154,147,189,202,5,"2,470"
Gateway,06720000,56,54,58,54,60,53,47,50,58,66,53,30,45,35,2,721
Georgetown,01050000,35,81,99,80,93,86,91,92,86,102,29,61,59,67,0,"1,061"
Gill-Montague,06740000,35,67,67,52,57,78,56,70,72,85,51,55,43,50,1,839
Global Learning Charter Public (District),04960000,0,0,0,0,0,0,81,85,83,78,49,42,34,49,0,501
Gloucester,01070000,90,213,233,224,205,231,221,198,196,200,204,205,175,179,6,"2,780"
Gosnold,01090000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grafton,01100000,107,208,225,216,236,247,240,262,218,251,216,204,261,205,19,"3,115"
Granby,01110000,31,36,32,42,34,58,57,58,56,63,35,44,44,44,0,634
Greater Commonwealth Virtual District,39010000,0,18,26,39,49,63,53,73,102,116,159,168,154,165,0,"1,185"
Greater Fall River Regional Vocational Technical,08210000,0,0,0,0,0,0,0,0,0,0,383,385,374,336,1,"1,479"
Greater Lawrence Regional Vocational Technical,08230000,0,0,0,0,0,0,0,0,0,0,500,491,470,432,0,"1,893"
Greater Lowell Regional Vocational Technical,08280000,0,0,0,0,0,0,0,0,0,0,592,602,567,537,14,"2,312"
Greater New Bedford Regional Vocational Technical,08250000,0,0,0,0,0,0,0,0,0,0,571,558,531,501,0,"2,161"
Greenfield,01140000,78,100,99,92,126,115,109,109,94,94,64,68,65,72,0,"1,285"
