district_name,ap_test_takers,hs_enrollment_9_12,ap_participation_pct,graduation_rate_pct,mcas_math_pct
abby kelley foster charter public (district),,322.0,,100.0,33.0
abington,64.0,529.0,12.1,91.2,40.0
academy of the pacific rim charter public (district),72.0,253.0,28.5,97.7,11.0
acton-boxborough,805.0,1607.0,50.1,94.4,70.0
acushnet,,0,,,44.0
advanced math and science academy charter (district),244.0,541.0,45.1,100.0,42.0
agawam,257.0,1025.0,25.1,92.5,38.0
alma del mar charter school (district),,0,,,18.0
amesbury,71.0,517.0,13.7,82.1,38.0
amherst,,0,,,55.0
amherst-pelham,172.0,797.0,21.6,92.6,56.0
andover,596.0,1578.0,37.8,98.1,68.0
argosy collegiate charter school (district),,288.0,,77.8,14.0
arlington,735.0,1757.0,41.8,96.8,77.0
ashburnham-westminster,143.0,637.0,22.4,98.0,42.0
ashland,234.0,888.0,26.4,91.5,55.0
assabet valley regional vocational technical,87.0,1131.0,7.7,98.5,
athol-royalston,95.0,403.0,23.6,81.7,16.0
atlantis charter (district),69.0,248.0,27.8,93.8,16.0
attleboro,379.0,2041.0,18.6,92.2,38.0
auburn,217.0,736.0,29.5,92.3,47.0
avon,27.0,192.0,14.1,90.0,26.0
ayer shirley school district,97.0,386.0,25.1,94.3,53.0
barnstable,345.0,1219.0,28.3,82.9,28.0
baystate academy charter public school (district),18.0,151.0,11.9,86.0,12.0
bedford,289.0,833.0,34.7,98.7,70.0
belchertown,107.0,547.0,19.6,89.7,42.0
bellingham,92.0,615.0,15.0,88.0,36.0
belmont,721.0,1498.0,48.1,96.7,78.0
benjamin banneker charter public (district),,0,,,68.0
benjamin franklin classical charter public (district),,0,,,64.0
berkley,,0,,,59.0
berkshire arts and technology charter public (district),23.0,148.0,15.5,90.0,37.0
berkshire hills,73.0,391.0,18.7,86.5,39.0
berlin-boylston,69.0,274.0,25.2,98.3,59.0
beverly,309.0,1176.0,26.3,89.4,43.0
billerica,300.0,1169.0,25.7,96.2,45.0
blackstone valley regional vocational technical,226.0,1236.0,18.3,100.0,
blackstone-millville,83.0,393.0,21.1,91.9,46.0
blue hills regional vocational technical,59.0,924.0,6.4,98.2,
boston,3589.0,13528.0,26.5,81.3,22.0
boston collegiate charter (district),108.0,304.0,35.5,94.6,54.0
boston day and evening academy charter (district),,313.0,,21.5,
boston green academy horace mann charter school (district),73.0,289.0,25.3,82.5,11.0
boston preparatory charter public (district),90.0,376.0,23.9,96.0,19.0
boston renaissance charter public (district),,0,,,30.0
