system_name,funded_ratio_pct
Adams,9.67
Amesbury,9.43
Andover,9.43
Arlington,9.49
Attleboro,9.81
Barnstable County,9.35
Belmont,8.58
Berkshire County,9.63
Beverly,9.57
Blue Hills Regional Vocational School,9.41
Boston (City),8.33
Boston (Teachers),9.56
Braintree,11.25
Bristol County,8.18
Brockton,9.64
Brookline,9.5
Cambridge,9.74
Chelsea,9.69
Chicopee,11.6
Clinton,9.6
Concord,8.93
Danvers,13.17
Dedham,9.71
Dukes County,9.03
Easthampton,9.47
Essex Regional,9.04
Everett,9.71
Fairhaven,9.55
Fall River,9.48
Falmouth,6.1
Fitchburg,9.47
Framingham,9.68
Franklin Regional,9.12
Gardner,9.59
Gloucester,9.68
Greater Lawrence Sanitary District,19.92
Greenfield,9.58
Hampden County,9.56
Hampshire County,8.6
Haverhill,9.15
Hingham,9.64
Holyoke,5.56
Hull,8.96
Lawrence,9.41
Leominster,9.63
Lexington,17.11
Lowell,9.55
Lynn,9.2
MHFA (Mass. Housing Finance Agency),8.41
MTRS (Mass. Teachers),9.64
MWRA,8.97
Malden,15.39
Marblehead,9.61
Marlborough,7.52
MassPort,9.08
Maynard,13.74
Medford,8.96
Melrose,9.37
Methuen,9.67
Middlesex County,9.29
Milford,9.24
Milton,9.58
Minuteman Regional School District,9.32
Montague,9.59
Natick,10.97
Needham,9.47
New Bedford,11.46
Newburyport,9.7
Newton,9.49
Norfolk County,9.8
North Adams,15.74
North Attleboro,10.78
Northampton,14.78
Northbridge,9.8
Norwood,7.11
Peabody,9.88
Pittsfield,9.5
Plymouth,9.67
Plymouth County,9.82
Quincy,8.6
Reading,9.78
Revere,9.49
Salem,9.36
Saugus,9.21
Shrewsbury,9.1
Somerville,15.38
Southbridge,9.56
Springfield,9.79
State,9.64
Stoneham,9.15
Swampscott,8.55
Taunton,10.26
Wakefield,9.61
Waltham,11.94
Watertown,9.37
Webster,9.74
Wellesley,9.59
West Springfield,14.46
Westfield,8.45
Weymouth,8.47
Winchester,9.61
Winthrop,9.48
Woburn,9.47
Worcester,9.31
Worcester Regional,9.36
